id,record_sha256,part,qualifies_80,full_detail,returns_percent,sources
A0203CC7C53,48a9f803fb11e61789dcf90ec749117e91020f8e09ee28dc0a964c69eded2532,records/part-0000.jsonl.gz,1,True,"{""development_compound"":166.58363315,""preview_return"":97.55386057}",live/checkpoints/automatic-6m-bear-f8ccb2a670bc977c-interesting.sqlite3
A02F89D6385,ecfac7b23023952d2ff56850f494d66cf1f47955f3b132f264e7b341d89c3654,records/part-0000.jsonl.gz,1,True,"{""development_compound"":146.47155432,""preview_return"":124.92828261}",live/checkpoints/automatic-6m-bear-f8ccb2a670bc977c-interesting.sqlite3
A034AD0AAE4,cf91a2bd616438480b2d2f5d8a350b30ea7f6c1e2634cfc64fe372dc094f14e2,records/part-0000.jsonl.gz,1,True,"{""development_compound"":146.47155432,""preview_return"":124.92828261}",live/checkpoints/automatic-6m-bear-f8ccb2a670bc977c-interesting.sqlite3
A03AEAF2068,21001ae7c1a853cbc7835b0523666bc41239d35019a9e295078c9ef8874058ce,records/part-0000.jsonl.gz,1,True,"{""development_compound"":156.33041649,""preview_return"":92.09845816}",live/checkpoints/automatic-6m-bear-f8ccb2a670bc977c-interesting.sqlite3
A03D741FE91,9a854a8194b2fb5bb139fc5101140e703d900134395291c0bbb54adccf8f72aa,records/part-0000.jsonl.gz,1,True,"{""development_compound"":146.47155432,""preview_return"":126.2371701}",live/checkpoints/automatic-6m-bear-f8ccb2a670bc977c-interesting.sqlite3
A06EAA35969,49cee0762d68fd56d48d1ea7a2d8458e40d189b6df5e2fe10f5dd7521682cade,records/part-0000.jsonl.gz,1,True,"{""development_compound"":166.58363315,""preview_return"":107.99019555}",live/checkpoints/automatic-6m-bear-f8ccb2a670bc977c-interesting.sqlite3
A06EAA35969,83d5ee3836d60a69e7c981f7073a0e57a7bf4f8504e35c03c70e04c5b5d894b5,records/part-0000.jsonl.gz,1,True,"{""best_development_compound"":166.58363315}",before-cleanup/positive-strategies-v11.sqlite3
A06EAA35969,a06d408664ab0713244dffa216fe29d7a6796905386d8cc38b35034ef750ee93,records/part-0000.jsonl.gz,0,False,{},before-cleanup/positive-strategies-v11.sqlite3
A06EAA35969,fd3b223bc4f0ea1e0b7186e43b4d3ebd026e18f49c9bae25c2799dd5d9ff634c,records/part-0000.jsonl.gz,1,True,"{""development_compound"":166.58363315}",before-cleanup/positive-strategies-v11.sqlite3
A08FBC3992C,d45708f6572af8a4731b687abe717400012b766b569bdcc2b97163abc9935e9e,records/part-0000.jsonl.gz,1,True,"{""development_compound"":166.58363315,""preview_return"":99.78239649}",live/checkpoints/automatic-6m-bear-f8ccb2a670bc977c-interesting.sqlite3
